Nama Pengulas,Ulasan,Rating
Jujung Syaf,Kopi nya enak tp gk gitu suka sama pelayanan nya yang kayak pada belagu barista dan kasirnya. Heran bberapa x kesini tetap aja pd kurang ramah. Tp yg di kopken counter lain ramah & teredukasi sop-nya. Oohh ya kecuali klo security nya kopken … Lainnya,2 bintang
Poppy Gendis,"jujur gue udah 2x order pickup disini pelayanan nya kurang memuaskan banget barista nya bener bener gak ramah dan gaditanya lagi untuk menu nya, mereka malah ngobrol main saut sautan jd klo gue gak ngomong mereka ga akan ngomong , gatauu … Lainnya",2 bintang
Ciwi Paino,"Tempatnya sangat nyaman dan dilengkapi dengan wifi.....cocok buat kerja, belajar dan just hangout...
Open 24hours... Lainnya",5 bintang
Sikah Nur Chofifah,"Beberapa kali kesini,tempatnya nyaman selalu full customer tapi yg bikin bangga dan terharunya sebagai customer yaitu pelayan bapak bapak securitinya pas ujan bener bener penuh tapi bapaknya nyiapin bangku bahkan makesure kita pesen apa dan … Lainnya",5 bintang
Muhammad Bagas ilham,"Saya pesan lewat aplikasi untuk take away, dan pas saya sampai saya kira kopi saya yg sudah jadi mereka keep di showcase mereka dengan plastik take away, ternyata dipajang sesuai foto.. Alhasil pas saya minum skarang kopinya watery, ga … Lainnya",1 bintang
Tita Rostini,"tempatnya bagus, luas, adem, bersih, parkirannya luas, cocok banget buat nongkrong, meeting, buat ngadem dari hiruk pikuknya dunia wkwkkw good pokoknya, bakalan sering kesini sih💝 … Lainnya",5 bintang
Juan Daniel,"Tempatnya mewah, beda dari kopi kenangan biasanya, colokannya juga banyak cocok buat wfc pokoknya tempat ini rekomendasi banget Lainnya",5 bintang
Adhan Ramadhan,"tolong untuk pekerjanya tolong buat coffe lebih teliti dan dibaca note” nya ya , saya dah 2x pesanan saya salah dibuat disini, saya padahal sering nongkrong disini hampir tiap malam , yg pertama sempat diganti dan yg ke2 saya udah capek buat ngomong nya , tolong ditingkatkan lagi ya , makasih Lainnya",1 bintang
Muhamad Arif,"tempat nya bagus ,menarik ,tapi sayangg banget susah buat dapetin tempat duduk ,saran gua mah kalo minuman udah abis pulang dahh ,gantian sama yang lain ,kasian juga resto nya jadi rugi kalo cuma jajan segelas nongki nya 8 jam gatau maluu … Lainnya",5 bintang
real kwangya,"masa toilet bisa rusak dua duanya tanpa ada yang bisa digunakan sama sekali, kami pelanggan yang berencana stay lama harus buang air kemana? tolong diperbaiki demi kenyamanan Lainnya",3 bintang
Ibnu Fajar,Minta tolong untuk kerjasamanya sesama customer loyal kopi kenangan manta cabang rawa belong untuk saling bergantian atau berbagi tempat duduk mengingat hak sebagai customer sama dan sama sama membeli minuman nya tetapi dengan yg sangat di … Lainnya,3 bintang
Layli Maghfirah,"Sempat jadi favorit place untuk wfc karena di sini colokannya banyak dan wifi kencang. Kopinya juga rasanya enak dan gak berubah. Cuman sedih banget sama fasilitas toiletnya :( sebulan lalu masih oke, cuman hari ini toiletnya cuman 2 dan 1 … Lainnya",3 bintang
Willy Julian,"semuanya oke, kecuali playlistnyaaaaa

awal awal buka playlistnya enak enak, sekarang selalu diputerin lagu itali 🙃. … Lainnya",5 bintang
Zalva Desmalia,"tempatnya cozy, cocok untuk wfh
Makanan: 5…
Lainnya",5 bintang
restya aristiany,Kopi malam barengan paling emang paling enak..kita pilih yang deket rumah hehe paling rame kalau malam minggu tp cepet ko pelayanan.. Lainnya,5 bintang
Nabila Azzahra,"baru pertama kali dapet matcha latte rasanya bener2 watery, di ganti 2xpun ttp sama rasanya, mba yg nanggepin juga jutek bgt, jujur kecewa bgt si.
di gnti yg ke3xnya lebih better si tp ttp aneh ga sprti biasanya. makasi juga mas yg melayani dengan sepenuh hati beda hal dengan mbanya Lainnya",3 bintang
Novandy Yusanida,Tdk rekomen buat tmp kerja/ yg cari ketenangan.. isinya kebanyakan ibu2 bawa anak rame dan berisik lari sana sini Lainnya,2 bintang
Andri Gjk,"Staff sombong dengan ojek online , sdh bbrp kali pikup food disini. Staff berekpresi TDK frndly dengan ojol . Sejak pindah dari Binus ke Rawabelong . Staff tidak frndly dgn ojol . lain halnya pas masih gerai Binus staff ramah.",1 bintang
Refal Rizki,"Tempatnya nyaman, Tenang, dan enjoyy. Ada toilet dan mushola nya. Bersih dan adem
Jenis pesanan…
Lainnya",5 bintang
Pratama Rafif,"toilet cuma 1udah gitu toiletnya di flushnya lama padahal tempat baru, pelayanannya juga kurang baik, tempat udah bagus, udah rame padahal bisa ditingkatin lagi pelayanannya. Lainnya",3 bintang
Little Blue,Toiletnya tolong dong. Masa ada yang abis make kaga disiram sih hedeuuuhhhhh. Padahal overall oke ada musolanya juga cafe ini. Enak buat kerja. Lainnya,4 bintang
dikinsy,"Tempat yang sangat cocok untuk WFC ataupun mengerjakan tugas, saran saya bawa jaket karna ac nya dingin poll Lainnya",5 bintang
Rama Abu Athar,"Tempatnya luas,nyaman.. buat WFC enak.. cuma volume musiknya kekencengan
Jenis pesanan…
Lainnya",5 bintang
Melina Sandy,"Beli pake aplikasi, ada diskon pengguna baru 50% tempat nya bersih, pelayanan nya cepat dan ramah banget mba & mas nya. Lainnya",5 bintang
Ihsan Al Fadli,"harga dan tempat mantulll...makanan enak dan cocok untuk nongkrong hang out disiini
Makanan: 5…
Lainnya",5 bintang
Ceshiya Rannu,"Kasir melayani seperti ogah2an. Kopi sudah jadi barista tidak memanggil nomer/nama.
Makanan: 3…
Lainnya",3 bintang
Hendi Hendasjah,"Selayaknya tempat ngopi dan makan, tempat nyaman dan kebersihan cukup terjaga.
Jenis pesanan…
Lainnya",4 bintang
akuntb13,"tolong ya pelayanannya di perbaiki lagi!! terutama kasirnya yg cewe, kalian itu kerja di bagian pelayanan jadi ke customer harus ramah!! Lainnya",1 bintang
Intan Maharani,"Kopi kenangan new design french bistro yang elegan aesthetic dan gen z abis, cocok buat nongki apalagi udah 24 jam. … Lainnya",5 bintang
Ribiza Kayla,"ini tempat okay banget sih buat nongkrong atau ngerjain tugas, adem dan tempatnya nyaman. Paling suka suasana tempat yang rapih estetik sama pelayanannya mba mba nya baik ramah juga Lainnya",5 bintang
Ruth Sania,Sering belajar disini dekat juga sama kampus. Tempatnya luas & setiap tempat duduk ada colokan jadi enak buat nugas.  Tapi disini kopken nya rame terus jadi agak mengganggu konsen tapi enak sih disini. Kopi kenangan mantan nya juga enak Lainnya,5 bintang
adam,"kemarin sih ini. tapi itu kasirnya yang namanya aida jutekk banget anying. lu kalo ada masalah diluar atau lagi pms jangan bawa ke kerjaan lah, ga profesional banget. mana meja sebelah juga ngeluh hal yang sama. tolong edukasi lagi pls jd bete jir ngopi disitu pdhl suasanya enak. gosah so galak ya aida Lainnya",1 bintang
Ahmad Fajar Daviansyah,"Tempatnya nyaman tenang bersih tapi sayang wifinya gak bisa kesambung di hp sayaa
Jenis pesanan…
Lainnya",4 bintang
Rohmatul Aini,"tmpatnya enak bngt, wifinya kenceng👍, cocok buat wfh …
Makanan: 5…
Lainnya",5 bintang
Alpin Rifai,"Best banget barista nya kk bondol yg pake kacamata
Jenis pesanan
Makan d…
Lainnya",5 bintang
Nabila Aska Mefia,"Sebenernya tempatnya nyaman, tapi pelayanannya (mba-mba kasir pake kerudung shift pagi) kalo ngelayanin kurang ramah, udah dua kali kesini tapi pelayanannya tetep sama. Pas saya mau bayar cash, mbanya malah ngasi gesture muka ga ngenakin (rolling eyes). Lainnya",4 bintang
mira safirawati,"besttt outlet kopen!!🌟nya 10 …
Makanan: 5…
Lainnya",5 bintang
Yeremia Soeharto,"tempatnya bagus tapi sayang wcnya kotor banget ga terawat :(
Makanan: 5…
Lainnya",2 bintang
elsa,"titip salam ya buat mas wahab,pake kemeja hitam pokonyaa. mirip mantan saya:(((((((
Makanan: 5…
Lainnya",5 bintang
Akuu Ndess,"Pelayanannya garamah banget kalo ngomong bukannya di jelasin malah jawab nya so paling iyaaa,GUA BELI BUKANNYA MINTA!!! Lainnya",1 bintang
Nicholas L.H.,"Keren tempatnya, ada indoor dan outdoor
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
Michelle Cecilia,"Best place banget buat nugas, seminggu bisa beberapa kali kesini
Jenis pesanan…
Lainnya",5 bintang
Vicky Setiawan,"kasirnya ramah, baik, senyum ngelayani nya namanya AIDA. bessttt service deh buat mba nya , sehat sehat ya mba Lainnya",5 bintang
loli can,"Rotinya ok...kopinya juga ok tp sedikit agak mahal karena mungkin tempatnya bagus, nyaman, acnya juga dingin Lainnya",5 bintang
Royhan Edytia,"tempatnya bagus, bersih
Makanan: 5…
Lainnya",5 bintang
Ranger Thole,"Servis nya oke bersama kak bens
Jenis makanan
Lainnya…
Lainnya",5 bintang
Asyfa tania Elita sari,tempatnya nyaman sekaliii pelayanannya juga the best ramah sekalii murah senyum bikin mood makin naik terbaikkk deh pokoknyaaa Lainnya,5 bintang
sifa marsha,"Satpam nya ramah  dan sangat membantu sekali
Layanan: 5…
Lainnya",5 bintang
Riska Rika,"tempat nya udh oke , tapi kalo bsa buat yg terlalu lama nongkrong nya bisa gantian sama yg blm dpt tempat Lainnya",5 bintang
Dina Catur,"Saya sllu beli kopi kenangan rasanya tiada duanya,tempatnya jg enak layanannya ramah
Jenis pesanan…
Lainnya",5 bintang
Rizky Hakim,"Tempat Nyaman buat wfc & nongrong
Makanan: 5…
Lainnya",5 bintang
Michelle sarah,"Ga bisa nuker voucher flip jajan
Makanan: 1…
Lainnya",1 bintang
Dimas Ramadani35,"Pengerjaan ya kurang bagus.. bikin kecewa customer
Makanan: 1…
Lainnya",1 bintang
SUSIRO WIBOWO,"Karena masih baru, pelayanan, rasa dan ruangan terasa nyaman
Jenis pesanan…
Lainnya",5 bintang
M Faiz Islami,toiletnya gapernah jelas tolong,3 bintang
Kusuma Devi,"kopi kenangan mantan nya beneran ga bisa dilupakan 😍 …
Makanan: 4…
Lainnya",5 bintang
Nuning Listyarini,"Tempat bagus buat nongkrong sama teman
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Widia Widia,"Rame...babayk org muda kumpul.disini
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Nurmansyah147 Mansyah,Pengerjaan ya kurang proporsional bikin kecewa castamer,1 bintang
sldrtsfn,"wifi nya engga bisa dipake
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Arpan Dadi,"Nongkrong disini aja... Mantap
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
egha muti,Pelayan nya jutek,2 bintang
yordan vallentino,Toilet tolong benerin,1 bintang
Salman Ais,Mantap,5 bintang
robintang inl,"Lumayan
Makanan: 5
Layanan: …
Lainnya",5 bintang
Sydney Hamid,"Enak bangett, kualitasnya top!!! Bakal sering2 sih ke cabang ini",1 bintang
Muhmmad Arkyyy,"Halo pihak Kopi Kenangan,
Saya ingin menyampaikan kekecewaan saya terhadap pelayanan di outlet hari ini.
Sekitar pukul 12.00 saya datang untuk memesan kopi, namun kasir menginformasikan … Lainnya",1 bintang
sarah angela,"kopi kenangan rabel tempatnya sangat comfy, pelayanan baristanya sampai ke satpamnya terutama PAK EDI sangat ramah, cekatan, dan gesit. TOP BANGET DEH POKOKNYA.... LOVE KOPKEN RABEL ❤️ Lainnya",5 bintang
Patricia Evelyn,"Pak Satpam Edi baik bangett kasih bintang 10 ⭐️ ⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️ , service ny jg oke
Jenis pesanan…
Lainnya",5 bintang
caca,"Sangat nyaman untuk bersantai
Makanan: 5…
Lainnya",5 bintang
Aditya Wisnawa,"Tempatnya nyaman untuk nongkrong, baristanya cakep, ramah, pandai menabung dan tidak sombong.
Jenis p…
Lainnya",5 bintang
Alan Fahri Maulana,"Enak banget beli kopi disini, mana mba nya ramah banget yang namanya Nazwa. Udah ramah, cantik, imut pula. Top lah pokoknya Lainnya",5 bintang
Afriansyah Catur,"securitynya baik, dan helpful
Makanan: 5…
Lainnya",5 bintang
Syifa Fauziah,"Tempat nya nyaman, baristanya jg pada baik²,sopan, enak deh pokonya
Suasana: 1",5 bintang
nabilah bila,"nyamannn bgtttt, barista dan kasirnya ramah2
Makanan: 5…
Lainnya",5 bintang
Maudy sabillah,"Tmptnya enak nyaman asikk jg baristany
Makanan: 5…
Lainnya",5 bintang
Muhammad Fikri,Ok tempat nya,5 bintang
Keyzha Mattjawi,"tempat nya nyaman
Makanan: 5
Layanan:…
Lainnya",5 bintang
Muhammad Djaelani,"Tempatnya nyaman , asyik
Makanan: 5…
Lainnya",5 bintang
Muhammad Yasin,coach 100 juta pernah ngopi di mari,5 bintang
HMICABANG JAKPUSTARA,"interior nya bagus
Makanan: 5
Layanan:…
Lainnya",5 bintang
muhamad Yusuf,"Tempatnya Kane buat nongkrong pelayanan ramah dan baik
Jenis pesanan
Mak…
Lainnya",5 bintang
Neva Irawan,"Tempat terfavorit nongkrong deket rumah & staf nya pun ramah ramah. recommended✨🤍 …
Makanan: 5…
Lainnya",5 bintang
Nizar Efendi,"Terima kasih mas wahab service nya manteb banget !
Jenis pesanan
Makan d…
Lainnya",5 bintang
Sherin Melirinda,"terbaikkkkkkk
Makanan: 5
Layanan:…
Lainnya",5 bintang
Achmad Sahrul,"terbaik Batista nya ganteng bangettttt
Makanan: 5…
Lainnya",5 bintang
Talitha Ulfah,"agak kecewa sih sama info photobooth nya. liat di tiktok syaratnya minimal transaksi 60rb, pas sampe sini ternyata minimal transaksi 100rb. mana harus dalam satu struk, gabisa ditambahin dari pembelian sebelumnya. saran saya kasi plang atau tulisan lah biar orang ga bingung dan ngerasa zonk pas udah bayar lebih dr 60rb. Lainnya",1 bintang
Mamet ja,"The best , service excellent an Wahab dan team , udah kenal dari neo sampai dengam sekrang .
Jenis pe…
Lainnya",5 bintang
Mokhamad Iqbal,"Nice service, ambience nya keren enak bgt buat spot ngopi dan kerja. Luvvv
Makanan: 5…
Lainnya",5 bintang
Dela Aprilia,"kopi enak, menu bervariasi, baristanya ramah-ramah
Makanan: 5…
Lainnya",5 bintang
Ganesha Adhik,"1 jam lebih nunggu kopi wkwk
Makanan: 1…
Lainnya",1 bintang
Dwiki Pulungan,"Pelayanannya mantap sekali,fast respon & security nya ramah & juga bawain minumannya ke meja. Mantaplah pokonya kopi kenangan rawa belong. Josss👏👍 … Lainnya",5 bintang
Bhismo Pamungkas,"Rekomendasi banget ini tempat!
Makanan: 5…
Lainnya",5 bintang
Putra Wicaksana,"pelayanan nya selalu nyaman klo pesen disini, bintang 5 untuk service nya ⭐⭐⭐⭐⭐
Makanan: 5…
Lainnya",5 bintang
Raka Dwi Andika,"good service, ramah, tempatnya nyaman buat wfh
Makanan: 5…
Lainnya",5 bintang
Dhia ulhaq,"tempat nya pw
Makanan: 5
Layanan:…
Lainnya",5 bintang
bella arsel,"tempatnya nyaman
Makanan: 5
Layanan:…
Lainnya",5 bintang
Marianty Permatasari,"friendly time, barista nya oke banget. bestttt
Makanan: 5…
Lainnya",5 bintang
Munidah Idah,"Baru kali ini beli kopi + dutch chocolate rasanya zonk,
Yang kopi sih Aman yah,eh pas yang dutch chocolate rasanya basii sumpah. Baru minum beberapa udah kerasa dr baunya juga kek basi. Mohon di teliti kembali untuk bahan² stoknya. Lainnya",1 bintang
Dhea Nandita,Untuk ukuran kopken yang ramai pengunjung estimasi pembuatan minuman nya cukup cepat. Hanya menunggu 10-15 menit aja dan rasa sesuai denga yang aku mau. … Lainnya,5 bintang
Ahmad zulfikar,"kinerja karyawan resto payah gue datang duluan, udh konfirmasi no orderan shopee202 ke karywan cowok malah ngulangi ucapan gue shopee 202 bukan langsung cektak sturk bikinin orderan, malah utamakan pembeli offline dan gue dibelakangi … Lainnya",1 bintang
the drive,"Rapi bersih
Makanan: 5
Layanan:…
Lainnya",5 bintang
Azzahra Putri Scabra,"Suasananya sih enak, adem, dan ga berisik.

Aku tuh tim kopken bgt. Udh banyak outlet kopken yg ku kunjungin dan selalu … Lainnya",4 bintang
Zayn Khalil,"Cocok buat nongkrong sampe shubuh
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
lestari Diah,"baguss
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
ara irene,"Bintang 3 dulu. all for tempat nongkrong enak dan nyaman. Tapi, tolong untuk kebersihan toilet dan musholanya diperhatikan ya kak. Percuma tempat nongkrongnya enak, tapi tempat untuk beribadah dan toilet masih bintang 1 bangett, bahkan di musholanya seperti ada kotoran kucingnya dan di toilet sangat bau Lainnya",3 bintang
Rina Selpiana Maharani,"pelayanan baik, barista nya juga ramah-ramah
Jenis pesanan
Makan di temp…
Lainnya",5 bintang
Putri Yuri,"KKM di sini enak, pelayanan cepat
Tarif per orang
Rp 25–50 rb…
Lainnya",5 bintang
Kaiser Deempera,"Datang hari ini sekitar jam 1
Barista yg pakek kacamata kerjanya bagus dan profesional dan dia bantuin saya juga … Lainnya",5 bintang
Risti Siahaan,"tempatnya luas dan nyaman,ada indoor dan outdoor jg. ada photobooth jg dan bukanya 24 jam
pelayanan sangat ramah dan cepat. Lainnya",5 bintang
Muhammad Nasril Nufa,Sukaa bangettt kopi kenangan rawa belong ada photobooth lucu fyi minimal pembelian 60k untuk photoboothnya Lainnya,5 bintang
Sausan Grace Shinta,"uda bayar mahal buat dapet voucher photobox ternyata invalid semua sampe 8 kode, minta tolong ke staffnya malah kurang ditanggepin Lainnya",1 bintang
Hendra dwi Gunawan,"Tempatnya bagus , tapi sayang mesin airnya berisik banget ganggu sumpah bentar2 bunyi",3 bintang
Destia Riani,"Tempatnya nyaman untuk nongkrong sangat membawa kenangan.
Jenis pesanan…
Lainnya",5 bintang
ardhito arsyan,"enak, menu komplit, harga masuk akal, tapi antri banyak bener.",5 bintang
Jeaa Jejess,"Kopinya enaakkk 🥰& tempatnya cozy bangetttt, pelayanannya ramah & mas mas kasir yang kacamata namanya rafi (kalo gk salah) helpfull banget aku beli minuman langsung dialihin sama yang dapet makanan cuma tambah beberapa ribu ajaaa jadi lebih murah dan hematt👍 … Lainnya",5 bintang
Daniel Wiranata,"Gua sering banget beli americano di kopi kenangan manapun dan lumayan sering dilayanin sama yang baju putih, dan sama sekali ga pernah complain even minumannya kurang oke. Tapi ini ada barista yang namanya riski emang anak baru atau gabisa … Lainnya",1 bintang
Yufa Aini,"gue sering bgt ke kopken, tiap hari sampe security nya kenal, selama ini baru kali ini ngerasaain pelayanan nya ga banget, se tau gua kasir itu pasti selalu ngasih struk pembeliaan kita dengan cara ngomong, tapi malem ini mba mba rambut … Lainnya",1 bintang
Aghnia Ilmi,"(+) Minumannya tentu saja enak. Minuman Kopken rasanya luar biasa seperti biasa.
(+) Banyak tempat duduk dan outlet untuk mengerjakan tugas, pekerjaan, dll. … Lainnya",2 bintang
Syifa Fauziah,Tidak masalah menjadikannya sebagai tempat nyaman Anda untuk bekerja atau sekadar berkumpul dengan teman-teman. Lainnya,4 bintang
Nararya Baskoro,"salah satu tempat WFC terbaik di dekat kampus binus. tempat parkirnya luas, area dalam ruangannya luas dan terjangkau bagi sebagian besar mahasiswa. Lainnya",5 bintang
Risya Amelia,"Tempat yang bagus, lokasi yang strategis, dan makanan serta minuman yang enak.
Jenis pesanan…
Lainnya",5 bintang
Rizki Jacob,"Pelayanan cepat meskipun antrean panjang, terlalu ramai.
Jenis pesanan
M…
Lainnya",4 bintang
Renaldy Dwi Muharram,"Desain baru dari Kopi Kenangan. Kami senang melayani Anda.. ☺
Jenis pesanan…
Lainnya",5 bintang
Adam Zidane,"stabil
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
Ardhiyan Fadhly,"kedai kopi 24
Jenis pesanan
Pesan antar…
Lainnya",5 bintang
taufik hidayat,,5 bintang
Nicholas Livio,,5 bintang
winda Menyengat,,5 bintang
M Nita,,5 bintang
Ses Wike,,5 bintang
Abu Hafshoh,,5 bintang
dwi budi,,5 bintang
Revan Syam,,5 bintang
novi,,5 bintang
Nathaniel Axel,,5 bintang
ria itha,,5 bintang
Rizky Hairiniza,,5 bintang
yaya,,4 bintang
eka wahyuningsih,,5 bintang
Muhamad Fikri,,5 bintang
asep gunawan,,4 bintang
Agung Samdani,,5 bintang
Naufal Nurulaini Grab,,5 bintang
Bayu D Hananto,,5 bintang
Rifki Ridha,,4 bintang
Uus Ruswandy,,5 bintang
Muhammad Alwi,,5 bintang
fathur rohman solih,,5 bintang
Eone Harjanto,,4 bintang
Azmi Viro,,5 bintang
Sarah Fatimah,,5 bintang
iwan santoso,,5 bintang
Rosmidar Iyoz,,5 bintang
Abel Ludji Bire,,5 bintang
Dimas Tito,,5 bintang
Ahmad Luay,,5 bintang
Felix Andrian Nugroho,,5 bintang
kenneth kurniawan,Tempatnya bersih dan orang-orang di sana sangat ramah selama proses pemesanan. Sangat direkomendasikan. Lainnya,5 bintang
risky hermawan,,5 bintang
rivaldast_,,5 bintang
Fitria Amalia,"Favoritku setiap hari🥰 …
Makanan: 5…
Lainnya",5 bintang
ryan aboh,,5 bintang
Shasa Amelia,"Terbaiktttttt💗 …
Makanan: 5
Layanan:…
Lainnya",5 bintang
vivy navila,,5 bintang
Dini Oktavianti,"terbaik!
Makanan: 5
Layanan:…
Lainnya",5 bintang
andien,"Nyaman
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Ryan Aziz Kurniawan,"Tempat terbaik untuk nongkrong bareng teman sampai larut malam.
Makanan: 5…
Lainnya",5 bintang
Attaya Elang,,5 bintang
Mardiaz T,,5 bintang
Wuri Nurma'rifah,Tolong perbaiki toilet Anda dan jaga kebersihannya. Kemarin adalah pertama dan terakhir kalinya saya pergi ke sana.,2 bintang
Girl,"Salah satu tempat favorit saya untuk nongkrong dan bekerja dari kafe. Namun, tempat ini terlalu ramai dan bau rokoknya sangat menyengat. Mungkin mereka perlu membangun lantai 3 dan mungkin atapnya dijadikan area merokok. Lainnya",2 bintang
Arjuna Dwi Putra,,5 bintang
Dilan Alifia,,5 bintang
Wildan Kholid Endan,,5 bintang
BeldiHafiyan,,5 bintang
Miftahul Jannah,,5 bintang
Hann,,5 bintang
Yostevenstef58 Stefanuss,,5 bintang
Alfan Suryantoro,,5 bintang
Putri Faradibha,TERIMA KASIH KAKAKKKK KOPKEENNN KARNAAAA SUDAHHH PUTERINNNN LAGU FAVVV 🤍🫰🏻 loveeee kopken rabel somuuccc 🫰🏻🫰🏻 … Lainnya,5 bintang
tomy alwan,"Oke
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
Randi Julian Saputra,,5 bintang
unknow,,5 bintang
Ariyanto Rafli,"24 jam
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
Eko Mulyono,"Jajak pendapat Ruame... Layak dicoba,
Jenis pesanan
Makan di tempat…
Lainnya",4 bintang
Muhammad Syafiq,,4 bintang
nadiyah rachmadani,,5 bintang
Suprayan Yapura,"Tempat yang bagus untuk bersantai dan menyelesaikan pekerjaan, tetapi bau rokoknya sangat menyengat. Setelah menghabiskan satu jam di dalam ruangan (area bebas rokok), saya menyadari bau itu masih menempel di tubuh saya saat sampai di rumah. Lainnya",2 bintang
f4athyyah 11,,5 bintang
Mas aL,,1 bintang
Erick Guertler,"Tempat yang bagus, pelayanan yang baik, dan buka 24 jam!
Jenis makanan
L…
Lainnya",5 bintang
Nabila Nanda,,5 bintang
M Hafizh,,5 bintang
InanDwi,,5 bintang
Pandu Pambudi,,5 bintang
Patricia Kim,,5 bintang
Randy Ilman,,5 bintang
Eko AP,,5 bintang
Toni Kartono,,5 bintang
rivakasyah ramadhan,,5 bintang
Ibnu Ramadhan,,5 bintang
Stevanus Putro,,5 bintang
wb b,,5 bintang
Yopi Rahmansyah S,,5 bintang
Aida Ridia Sungkar,,5 bintang
